HIVE-25829,is related to,HIVE-14822
HIVE-25827,relates to,HADOOP-18028
HADOOP-18053,duplicates,HADOOP-12956
HADOOP-18052,is related to,HADOOP-17939
HADOOP-18049,relates to,HADOOP-17120
HADOOP-18047,relates to,HADOOP-11699
HADOOP-18047,relates to,HADOOP-8917
HDFS-16384,is superceded by,HADOOP-18079
HDFS-16384,relates to,TEZ-4369
YARN-11047,is broken by,HADOOP-17452
YARN-11045,is broken by,HADOOP-18025
HADOOP-18046,is broken by,HADOOP-18024
HADOOP-18044,is depended upon by,HADOOP-18305
HADOOP-18043,is broken by,HADOOP-18034
HADOOP-18042,relates to,HADOOP-18001
HADOOP-18040,relates to,HADOOP-16596
HADOOP-18040,relates to,HADOOP-18035
HIVE-25787,relates to,HADOOP-18056
HADOOP-18037,duplicates,HADOOP-17796
HADOOP-18036,relates to,HADOOP-17653
HADOOP-18035,is part of,HADOOP-16596
HADOOP-18035,is related to,HADOOP-18040
HADOOP-18034,breaks,HADOOP-18043
HADOOP-18033,breaks,TEZ-4420
HADOOP-18033,is blocked by,HADOOP-15984
HADOOP-18033,is related to,HADOOP-16908
HADOOP-18033,is related to,HADOOP-18178
HADOOP-18033,is related to,HADOOP-18332
HADOOP-18033,relates to,BIGTOP-3760
HADOOP-18033,relates to,HADOOP-18303
HADOOP-18033,relates to,HADOOP-17534
HADOOP-18033,relates to,HADOOP-18356
OOZIE-3642,requires,HADOOP-18021
HADOOP-18028,is depended upon by,HADOOP-18067
HADOOP-18028,is depended upon by,HADOOP-18179
HADOOP-18028,is related to,HIVE-25827
HDFS-16355,is depended upon by,HADOOP-18198
HADOOP-18025,breaks,YARN-11045
HADOOP-18024,breaks,HADOOP-18046
HADOOP-18024,is related to,KAFKA-13457
HADOOP-18024,is related to,HADOOP-17552
HADOOP-18023,relates to,HADOOP-14698
HADOOP-18023,relates to,HADOOP-17998
YARN-11014,is depended upon by,HADOOP-18198
YARN-11014,requires,YARN-10503
HADOOP-18021,is broken by,YARN-10852
HADOOP-18021,is broken by,YARN-10911
HADOOP-18021,is required by,OOZIE-3642
HADOOP-18019,is duplicated by,HADOOP-18157
HADOOP-18016,relates to,HADOOP-18015
HADOOP-18015,is related to,HADOOP-18016
HADOOP-18013,is related to,HADOOP-17691
KAFKA-13457,relates to,HADOOP-18024
HADOOP-18012,relates to,HADOOP-17934
HADOOP-18012,relates to,HADOOP-18002
HADOOP-18012,relates to,HADOOP-17979
HADOOP-18012,relates to,MAPREDUCE-7341
HDFS-16325,is cloned by,HADOOP-18010
HADOOP-18010,is a clone of,HDFS-16325
HADOOP-18003,is depended upon by,HDFS-16310
HADOOP-18002,contains,HADOOP-17989
HADOOP-18002,is related to,HADOOP-18012
HADOOP-18002,is related to,HADOOP-17979
HADOOP-18002,relates to,HADOOP-17934
HADOOP-18002,relates to,HADOOP-17981
HADOOP-18001,is related to,HADOOP-18042
HADOOP-18001,relates to,HADOOP-17796
HIVE-25686,is caused by,HADOOP-17901
HIVE-25686,is caused by,HADOOP-17905
HDFS-16310,depends upon,HADOOP-18003
HADOOP-17999,relates to,HDFS-15289
HADOOP-17998,is related to,HADOOP-18023
HADOOP-17993,is a clone of,HADOOP-17985
HADOOP-17992,duplicates,HADOOP-17988
HADOOP-17992,is a clone of,HADOOP-17985
HADOOP-17991,is caused by,HADOOP-17873
HADOOP-17989,is caused by,HADOOP-17934
HADOOP-17989,Is contained by,HADOOP-18002
HDFS-16300,causes,HDFS-16304
HDFS-16300,is a child of,HADOOP-17193
HADOOP-17988,is a clone of,HADOOP-17985
HADOOP-17988,is duplicated by,HADOOP-17992
HADOOP-17987,is a clone of,HADOOP-17985
HADOOP-17986,is a clone of,HADOOP-17985
HUDI-2669,blocks,HUDI-2948
HUDI-2669,is a parent of,HUDI-2946
HUDI-2669,is blocked by,HADOOP-16795
HUDI-2669,is blocked by,HBASE-22972
HADOOP-17985,is cloned by,HADOOP-17986
HADOOP-17985,is cloned by,HADOOP-17987
HADOOP-17985,is cloned by,HADOOP-17988
HADOOP-17985,is cloned by,HADOOP-17992
HADOOP-17985,is cloned by,HADOOP-17993
HADOOP-17983,relates to,HADOOP-17851
HADOOP-17981,is related to,HADOOP-18425
HADOOP-17981,is related to,HADOOP-18002
HADOOP-17981,is related to,HDDS-2935
HADOOP-17981,relates to,HADOOP-17979
HADOOP-17981,relates to,MAPREDUCE-7341
